Công Ty Cổ Phần Sx & Tm Nguyên Lộc Hd	Hải Dương	Thôn Đoài, Xã Hồng Lạc, Huyện Thanh Hà, Tỉnh Hải Dương	Sản xuất đồ chơi, trò chơi	0801224749	17-10-2017
Công Ty TNHH Thiết Bị Ngành May Nguyễn Tập	Hải Dương	Thôn 3, Xã Thanh Xá, Huyện Thanh Hà, Tỉnh Hải Dương	Cho thuê máy móc, thiết bị và đồ dùng hữu hình khác	0801224160	13-10-2017
Công Ty TNHH Sản Xuất Và Thương Mại Hải Đăng Hd	Hải Dương	Xóm 7, thôn Quan Khê, Xã Việt Hồng, Huyện Thanh Hà, Tỉnh Hải Dương	Sản xuất khác chưa được phân vào đâu	0801223103	26-09-2017
Công Ty TNHH Hữu Bang	Hải Dương	Thôn An Liệt, Xã Thanh Hải, Huyện Thanh Hà, Tỉnh Hải Dương	Sản xuất sản phẩm từ plastic	0801222692	22-09-2017
Công Ty TNHH Thương Mại Và Dịch Vụ Sơn Ngọc Mai	Hải Dương	Đội 6, xóm Nam, Xã Hồng Lạc, Huyện Thanh Hà, Tỉnh Hải Dương	Hoạt động dịch vụ hỗ trợ kinh doanh khác còn lại chưa được phân vào đâu	0801222491	14-09-2017
Công Ty Cổ Phần Xây Dựng Và Thương Mại Hoàng Linh Hd	Hải Dương	Đội 9, thôn Hoàng Lại, Xã An Lương, Huyện Thanh Hà, Tỉnh Hải Dương	Xây dựng nhà các loại	0801222082	07-09-2017
Công Ty TNHH Nguyễn Đình Phú Quý	Hải Dương	Thôn Cam Lộ, Xã Tân Việt, Huyện Thanh Hà, Tỉnh Hải Dương	Bán buôn nhiên liệu rắn, lỏng, khí và các sản phẩm liên quan	0801221882	05-09-2017
Công Ty TNHH Một Thành Viên Viễn Thông Ngọc Anh Point Reliable	Hải Dương	Xóm 1 Xuân An, Xã Thanh Khê, Huyện Thanh Hà, Tỉnh Hải Dương	Bán lẻ máy vi tính, thiết bị ngoại vi, phần mềm và thiết bị viễn thông trong các cửa hàng chuyên doanh	0801221681	30-08-2017
Công Ty TNHH Mtv Thương Mại Và Dịch Vụ Mai Dương	Hải Dương	Xóm 1 Thôn Đông Phan, Xã Tân An, Huyện Thanh Hà, Tỉnh Hải Dương	Bán lẻ máy vi tính, thiết bị ngoại vi, phần mềm và thiết bị viễn thông trong các cửa hàng chuyên doanh	0801221000	28-08-2017
Công Ty TNHH Đầu Tư Vận Tải Minh Thắng	Hải Dương	Xóm Lê Lợi, Xã Tiền Tiến, Huyện Thanh Hà, Tỉnh Hải Dương	Vận tải hàng hóa bằng đường bộ	0801221265	21-08-2017
