Doanh Nghiệp Tư Nhân Chuẩn Thành	Nam Định	Xóm 4, Xã Xuân Tiến, Huyện Xuân Trường, Tỉnh Nam Định	Gia công cơ khí; xử lý và tráng phủ kim loại	0601139704	19-07-2017
Công Ty Cổ Phần Thiên Trường Nam Định	Nam Định	Xóm 5, Xã Thọ Nghiệp, Huyện Xuân Trường, Tỉnh Nam Định	Gia công cơ khí; xử lý và tráng phủ kim loại	0601139655	19-07-2017
Công Ty TNHH Kinh Doanh Thương Mại Thanh Hòa	Nam Định	Tổ 6, Thị Trấn Xuân Trường, Huyện Xuân Trường, Tỉnh Nam Định	Xây dựng công trình kỹ thuật dân dụng khác	0601139687	19-07-2017
Công Ty TNHH Sản Xuất Và Thương Mại Mạnh Hà	Nam Định	Xóm 5, Xã Xuân Tiến, Huyện Xuân Trường, Tỉnh Nam Định	Gia công cơ khí; xử lý và tráng phủ kim loại	0601139711	19-07-2017
Công Ty TNHH Sản Xuất Thương Mại Hưng Phát Đạt	Nam Định	Xóm 6, Xã Xuân Trung, Huyện Xuân Trường, Tỉnh Nam Định	Xây dựng nhà các loại	0601139422	12-07-2017
Công Ty TNHH Mtv Sinh Oanh	Nam Định	Xóm 6, Xã Xuân Tiến, Huyện Xuân Trường, Tỉnh Nam Định	Sản xuất dao kéo, dụng cụ cầm tay và đồ kim loại thông dụng	0601139415	12-07-2017
Công Ty Cổ Phần Dịch Vụ Vận Tải Thương Mại Vinh Quang	Nam Định	Tổ 18, Thị Trấn Xuân Trường, Huyện Xuân Trường, Tỉnh Nam Định	Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng	0601139077	03-07-2017
Công Ty TNHH Sản Xuất Và Thương Mại Gia Phạm	Nam Định	Xóm 4, Xã Xuân Phú, Huyện Xuân Trường, Tỉnh Nam Định	Sản xuất hàng may sẵn (trừ trang phục)	0601138700	22-06-2017
Công Ty TNHH Trading & Service Hải Thiên	Nam Định	Xóm 1, Thôn Liên Thượng, Xã Xuân Ngọc, Huyện Xuân Trường, Tỉnh Nam Định	Bán buôn đồ dùng khác cho gia đình	0601138309	12-06-2017
Công Ty TNHH Sản Xuất Cơ Khí Minh Huy	Nam Định	Xóm 10, Xã Xuân Tiến, Huyện Xuân Trường, Tỉnh Nam Định	Bán buôn máy móc, thiết bị và phụ tùng máy khác	0601138147	09-06-2017
Công Ty TNHH Kinh Doanh Xăng Dầu Hoàng Gia.2	Nam Định	Xóm 5, Xã Xuân Trung, Huyện Xuân Trường, Tỉnh Nam Định	Bán buôn nhiên liệu rắn, lỏng, khí và các sản phẩm liên quan	0601138080	07-06-2017
Công Ty TNHH Dịch Vụ Thương Mại An Hoàng Dũng	Nam Định	Xóm 32, Xã Xuân Hồng, Huyện Xuân Trường, Tỉnh Nam Định	Sản xuất các cấu kiện kim loại	0601137841	01-06-2017
Công Ty TNHH Đầu Tư Thương Mại Thúy Hà	Nam Định	Thôn Trung Linh, Xã Xuân Ngọc, Huyện Xuân Trường, Tỉnh Nam Định	Vận tải hàng hóa bằng đường bộ	0601137778	29-05-2017
Công Ty Cổ Phần Sản Xuất Và Thương Mại Khởi Thiên Ban	Nam Định	Xóm 8, Xã Xuân Tiến, Huyện Xuân Trường, Tỉnh Nam Định	Bán buôn máy móc, thiết bị và phụ tùng máy khác	0601137746	29-05-2017
Công Ty TNHH Mtv Vận Tải Thủy Bộ Vạn Lộc	Nam Định	Xóm 10B, Xã Xuân Kiên, Huyện Xuân Trường, Tỉnh Nam Định	Vận tải hàng hóa ven biển và viễn dương	0601137591	25-05-2017
Công Ty TNHH Shinhwa Tns Việt Nam	Nam Định	Tổ 12 (Thuê nhà xưởng của Công ty TNHH Anh Cường), Thị Trấn Xuân Trường, Huyện Xuân Trường, Tỉnh Nam Định	Sản xuất hàng may sẵn (trừ trang phục)	0601137707	25-05-2017
