Công Ty TNHH Ichiban Vn	Bắc Giang	Số 5B ngõ 50 đường Nguyễn Thị Lưu, Phường Ngô Quyền, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Bán lẻ thực phẩm trong các cửa hàng chuyên doanh	2400847588	26-09-2018
Công Ty TNHH Dịch Vụ Vận Tải Nam Chung	Bắc Giang	Số 613, đường Lê Lợi, Phường Dĩnh Kế, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Vận tải hàng hóa bằng đường bộ	2400848084	26-09-2018
Công Ty TNHH Sản Xuất Sơn Wonder Full Thịnh Vượng	Bắc Giang	Tổ dân phố Phú Mỹ, Phường Dĩnh Kế, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Sản xuất sơn, véc ni và các chất sơn, quét tương tự; sản xuất mực in và ma tít	2400847563	20-09-2018
Công Ty TNHH Thương Mại Trung Hưng H&t	Bắc Giang	Số 13, ngõ 8 đường Thánh Thiên, Phường Lê Lợi, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Bán buôn đồ dùng khác cho gia đình	2400847725	18-09-2018
Công Ty TNHH Dvtm Thanh Bình Bg	Bắc Giang	Số 1, ngách 12, ngõ 259, đường Giáp Hải, Phường Dĩnh Kế, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng	2400847404	14-09-2018
Công Ty TNHH Mtv Sửa Chữa Ô Tô Hoàng Tùng	Bắc Giang	Số nhà 92 đường Giáp Hải, Phường Dĩnh Kế, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Bảo dưỡng, sửa chữa ô tô và xe có động cơ khác	2400847186	14-09-2018
Công Ty TNHH Tps Vina	Bắc Giang	Thôn Yên Khê, Xã Song Khê, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Gia công cơ khí; xử lý và tráng phủ kim loại	2400846785	05-09-2018
Công Ty TNHH Phoenix Real	Bắc Giang	Số 25 Đường Nguyễn Đình Tuân, Phường Hoàng Văn Thụ, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê	2400846739	31-08-2018
Công Ty TNHH Thương Mại Và Dịch Vụ Bảo Vệ Hkc	Bắc Giang	Số 170 đường Nguyễn Khuyến,  Phường Xương Giang, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Hoạt động bảo vệ cá nhân	2400846577	30-08-2018
Công Ty TNHH Việt Anh Mỹ	Bắc Giang	Số nhà 31 Nguyễn Khắc Nhu, Phường Trần Nguyên Hãn, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Xây dựng nhà các loại	2400845492	14-08-2018
Công Ty TNHH Tmdv Quốc Cường Aw68	Bắc Giang	Số nhà 26, Ngõ 137, Đường Hùng Vương , Phường Hoàng Văn Thụ, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Bán buôn nhiên liệu rắn, lỏng, khí và các sản phẩm liên quan	2400845358	14-08-2018
Công Ty TNHH Minh Phát Bắc Giang	Bắc Giang	Số 844 đường Hoàng Hoa Thám, Xã Song Mai, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Xây dựng nhà các loại	2400845277	10-08-2018
Công Ty TNHH Minh An Phát Bắc Giang	Bắc Giang	Đường Trần Khát Chân 1 - Tổ 7, Phường Thọ Xương, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Sản xuất linh kiện điện tử	2400845365	10-08-2018
Công Ty Cổ Phần Công Nghệ Go-ixe Đông Bắc Bộ	Bắc Giang	Số 62 đường Nguyễn Du, Phường Hoàng Văn Thụ, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Hoạt động dịch vụ công nghệ thông tin và dịch vụ khác liên quan đến máy vi tính	2400845213	09-08-2018
Công Ty TNHH Ds Hitech Bắc Giang	Bắc Giang	Km 2, đường Hoàng Hoa Thám, Thôn An Phú , Xã Song Mai, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Sản xuất sản phẩm từ plastic	2400845118	09-08-2018
Công Ty TNHH Mtv Bt Lạng Giang	Bắc Giang	P101, Khu đô thị Đồng Cửa 2, Phường Lê Lợi, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê	2400845083	09-08-2018
Công Ty TNHH Thương Mại Dv Xnk 88	Bắc Giang	Số 380 đường Lê Lợi, Phường Hoàng Văn Thụ, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Bán mô tô, xe máy	2400844964	08-08-2018
Công Ty TNHH Giáo Dục Hưng Bình	Bắc Giang	Nhà A1, tổ 7B, ngõ 4 đường Trần Nguyên Hãn, Phường Trần Nguyên Hãn, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Giáo dục mầm non	2400845069	08-08-2018
Công Ty TNHH Tmdv Sao Việt	Bắc Giang	Số 15, Ngõ 509, Đường Lê Lợi, Phường Hoàng Văn Thụ, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Trồng rau, đậu các loại và trồng hoa, cây cảnh	2400844837	07-08-2018
Công Ty TNHH Thương Mại Và Dược Phẩm Hà Hòa	Bắc Giang	Số nhà 36, Phố Mỹ Độ, Tổ dân phố số 2, Phường Mỹ Độ, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Bán buôn thực phẩm	2400844883	07-08-2018
Công Ty TNHH Vận Tải Ngọc Quảng	Bắc Giang	SN 51 đường Ngõ Gai, Thôn Song Khê 1, Xã Song Khê, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Vận tải hàng hóa bằng đường bộ	2400844788	07-08-2018
Công Ty TNHH Thương Mại Và Dịch Vụ Du Lịch Bảo An Travel	Bắc Giang	Thôn Phúc Bé, Xã Song Mai, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Điều hành tua du lịch	2400844361	07-08-2018
Công Ty TNHH Threesixnine Vina	Bắc Giang	Thôn Lịm Xuyên, Xã Song Khê, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Sản xuất sản phẩm khác bằng kim loại chưa được phân vào đâu	2400844756	06-08-2018
Công Ty TNHH Tm&pt Btc Việt Nam	Bắc Giang	Số nhà 02, Ngõ 75, Tổ dân phố Tiền, Phường Thọ Xương, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Hoàn thiện công trình xây dựng	2400844393	03-08-2018
Công Ty TNHH Nha Khoa Tâm Anh	Bắc Giang	Số 105, đường Nguyễn Văn Cừ, Phường Hoàng Văn Thụ, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Hoạt động của các phòng khám đa khoa, chuyên khoa và nha khoa	2400844474	02-08-2018
Công Ty TNHH Sx Tm Sao Kim	Bắc Giang	Kiốt 18, Trung tâm thương mại Lam Sơn, Xã Tân Mỹ, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Gia công cơ khí; xử lý và tráng phủ kim loại	2400844386	02-08-2018
Công Ty TNHH Đầu Tư Dịch Vụ Duy Hiếu	Bắc Giang	Số nhà 4, hẻm 2, ngách 22, ngõ 445 đường Lê Lợi, Phường Hoàng Văn Thụ, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Tư vấn, môi giới, đấu giá bất động sản, đấu giá quyền sử dụng đất	2400844192	02-08-2018
